timestamp,lon,lat,speed_knots,emissions_CO2,emissions_CO,emissions_SOX,emissions_N2O,emissions_NOX,emissions_PM,emissions_CH4,interpolated,current_phase,datetime
2021-01-01 00:00:00+00:00,18.003055,69.6376433333,0.0,139.2,0.108,0.12,0.006,1.88936498310765,0.04,0.002,No (reported postion),anchor,2021-01-01 00:00:00
2021-01-01 01:00:00+00:00,18.003,69.6376633333,0.0,139.2,0.108,0.12,0.006,1.88936498310765,0.04,0.002,No (reported postion),anchor,2021-01-01 01:00:00
2021-01-01 02:00:00+00:00,18.00306,69.6376433333,0.0,139.2,0.108,0.12,0.006,1.88936498310765,0.04,0.002,No (reported postion),anchor,2021-01-01 02:00:00
2021-01-01 03:00:00+00:00,18.0030266667,69.6376583333,0.0,139.2,0.108,0.12,0.006,1.88936498310765,0.04,0.002,No (reported postion),anchor,2021-01-01 03:00:00
2021-01-01 04:00:00+00:00,18.00305,69.6376483333,0.0,139.2,0.108,0.12,0.006,1.88936498310765,0.04,0.002,No (reported postion),anchor,2021-01-01 04:00:00
2021-01-01 05:00:00+00:00,18.00304,69.637635,0.0,139.2,0.108,0.12,0.006,1.88936498310765,0.04,0.002,No (reported postion),anchor,2021-01-01 05:00:00
2021-01-01 06:00:00+00:00,18.00304,69.6376266667,0.0,139.2,0.108,0.12,0.006,1.88936498310765,0.04,0.002,No (reported postion),anchor,2021-01-01 06:00:00
2021-01-01 07:00:00+00:00,18.0030666667,69.6376266667,0.0,139.2,0.108,0.12,0.006,1.88936498310765,0.04,0.002,No (reported postion),anchor,2021-01-01 07:00:00
2021-01-01 08:00:00+00:00,18.0029866667,69.6376533333,0.0,139.2,0.108,0.12,0.006,1.88936498310765,0.04,0.002,No (reported postion),anchor,2021-01-01 08:00:00
2021-01-01 09:00:00+00:00,18.00304,69.6376266667,0.0,139.2,0.108,0.12,0.006,1.88936498310765,0.04,0.002,No (reported postion),anchor,2021-01-01 09:00:00
2021-01-01 10:00:00+00:00,18.0030216667,69.6376416667,0.0,139.2,0.108,0.12,0.006,1.88936498310765,0.04,0.002,No (reported postion),anchor,2021-01-01 10:00:00
2021-01-01 11:00:00+00:00,18.0030516667,69.6376316667,0.0,139.2,0.108,0.12,0.006,1.88936498310765,0.04,0.002,No (reported postion),anchor,2021-01-01 11:00:00
2021-01-01 12:00:00+00:00,18.0030466667,69.6376383333,0.0,139.2,0.108,0.12,0.006,1.88936498310765,0.04,0.002,No (reported postion),anchor,2021-01-01 12:00:00
