timestamp,lon,lat,speed_knots,emissions_CO2,emissions_CO,emissions_SOX,emissions_N2O,emissions_NOX,emissions_PM,emissions_CH4,interpolated,current_phase,datetime
2021-01-01 00:00:00+00:00,5.3142466667,60.3981066667,0.0,139.2,0.108,0.12,0.006,2.764,0.04,0.002,No (reported postion),anchor,2021-01-01 00:00:00
2021-01-01 01:00:00+00:00,5.3142016667,60.39808,0.0,139.2,0.108,0.12,0.006,2.764,0.04,0.002,No (reported postion),anchor,2021-01-01 01:00:00
2021-01-01 02:00:00+00:00,5.31441,60.3981066667,0.0,139.2,0.108,0.12,0.006,2.764,0.04,0.002,No (reported postion),anchor,2021-01-01 02:00:00
2021-01-01 03:00:00+00:00,5.3143516667,60.3980533333,0.0,139.2,0.108,0.12,0.006,2.764,0.04,0.002,No (reported postion),anchor,2021-01-01 03:00:00
2021-01-01 04:00:00+00:00,5.3141383333,60.3979666667,0.0,139.2,0.108,0.12,0.006,2.764,0.04,0.002,No (reported postion),anchor,2021-01-01 04:00:00
2021-01-01 05:00:00+00:00,5.3142333333,60.3980866667,0.0,139.2,0.108,0.12,0.006,2.764,0.04,0.002,No (reported postion),anchor,2021-01-01 05:00:00
2021-01-01 06:00:00+00:00,5.3142508333,60.39808333335,0.0,139.2,0.108,0.12,0.006,2.764,0.04,0.002,Linear (small gap),anchor,2021-01-01 06:00:00
2021-01-01 07:00:00+00:00,5.3142683333,60.39808,0.0,139.2,0.108,0.12,0.006,2.764,0.04,0.002,Linear (small gap),anchor,2021-01-01 07:00:00
2021-01-01 08:00:00+00:00,5.3142858333,60.39807666665,0.0,139.2,0.108,0.12,0.006,2.764,0.04,0.002,Linear (small gap),anchor,2021-01-01 08:00:00
2021-01-01 09:00:00+00:00,5.3143033333,60.3980733333,0.0,139.2,0.108,0.12,0.006,2.764,0.04,0.002,No (reported postion),anchor,2021-01-01 09:00:00
2021-01-01 10:00:00+00:00,5.3141333333,60.3981466667,0.0,139.2,0.108,0.12,0.006,2.764,0.04,0.002,No (reported postion),anchor,2021-01-01 10:00:00
2021-01-01 11:00:00+00:00,5.3143916667,60.3981066667,0.0,139.2,0.108,0.12,0.006,2.764,0.04,0.002,No (reported postion),anchor,2021-01-01 11:00:00
2021-01-01 12:00:00+00:00,5.31428,60.39808,0.0,139.2,0.108,0.12,0.006,2.764,0.04,0.002,No (reported postion),anchor,2021-01-01 12:00:00
2021-01-01 13:00:00+00:00,5.3142883333,60.3980866667,0.0,139.2,0.108,0.12,0.006,2.764,0.04,0.002,No (reported postion),anchor,2021-01-01 13:00:00
